Emission PMT (V): Changed: 2018-1-5 15:06:45, Old: 480, New: 420
Emission Wavelength Changed: 2018-1-5 15:06:45, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:48, Old:   0.00, New: 400.00
Zero Order Emission Changed: 2018-1-5 15:07:24, Old:ON, New:OFF
Scan mode: Changed: 2018-1-5 15:07:24, Old:Excitation, New:Emission
Emission Wavelength Changed: 2018-1-5 15:07:24, Old: 400.00, New: 577.05
Excitation Wavelength Changed: 2018-1-5 15:07:24, Old: 200.00, New: 572.05
Emission PMT (V): Changed: 2018-1-5 15:07:40, Old: 420, New: 500
Emission Wavelength Changed: 2018-1-5 15:08:11, Old: 577.05, New: 585.00
Stop Wavelength Changed: 2018-1-5 15:08:11, Old: 850.00, New: 600.00
Data interval: Changed: 2018-1-5 15:08:11, Old:   2.00, New:   1.00
Overlayed Graphs Changed: 2018-1-5 15:08:11, Old:ON, New:OFF
PMT Volts Changed: 2018-1-5 15:08:11, Old:600, New:500
User Delta Stop Changed: 2018-1-5 15:08:23, Old: 450.00, New: 572.05
User Delta Increment Changed: 2018-1-5 15:08:23, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 2018-1-5 15:09:35, Old: 572.05, New: 560.00
Emission Wavelength Changed: 2018-1-5 15:09:35, Old: 585.00, New: 570.00
Stop Wavelength Changed: 2018-1-5 15:09:35, Old: 600.00, New: 650.00
End Method Modifications

5,
5
Collection Time: 2018-1-5 15:10:06
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL05093147
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        570.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               560.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   500
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 2018-1-5 15:05:27
Method Modifications:
Data interval: Changed: 2018-1-5 15:06:19, Old:   1.00, New:   2.00
Overlayed Graphs Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Scan mode: Changed: 2018-1-5 15:06:19, Old:Emission, New:Excitation
Stop Wavelength Changed: 2018-1-5 15:06:19, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 2018-1-5 15:06:19, Old: 350.00, New: 200.00
Zero Order Emission Changed: 2018-1-5 15:06:19, Old:OFF, New:ON
Emission Wavelength Changed: 2018-1-5 15:06:19, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:22, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:22, Old: 600, New: 540
Emission Wavelength Changed: 2018-1-5 15:06:22, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:23, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:24, Old: 540, New: 480
Emission Wavelength Changed: 2018-1-5 15:06:24, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:25, Old:   0.00, New: 400.00
Emission PMT (V): Changed: 2018-1-5 15:06:45, Old: 480, New: 420
Emission Wavelength Changed: 2018-1-5 15:06:45, Old: 400.00, New:   0.00
Emission Wavelength Changed: 2018-1-5 15:06:48, Old:   0.00, New: 400.00
Zero Order Emission Changed: 2018-1-5 15:07:24, Old:ON, New:OFF
Scan mode: Changed: 2018-1-5 15:07:24, Old:Excitation, New:Emission
Emission Wavelength Changed: 2018-1-5 15:07:24, Old: 400.00, New: 577.05
Excitation Wavelength Changed: 2018-1-5 15:07:24, Old: 200.00, New: 572.05
Emission PMT (V): Changed: 2018-1-5 15:07:40, Old: 420, New: 500
Emission Wavelength Changed: 2018-1-5 15:08:11, Old: 577.05, New: 585.00
Stop Wavelength Changed: 2018-1-5 15:08:11, Old: 850.00, New: 600.00
Data interval: Changed: 2018-1-5 15:08:11, Old:   2.00, New:   1.00
Overlayed Graphs Changed: 2018-1-5 15:08:11, Old:ON, New:OFF
PMT Volts Changed: 2018-1-5 15:08:11, Old:600, New:500
User Delta Stop Changed: 2018-1-5 15:08:23, Old: 450.00, New: 572.05
User Delta Increment Changed: 2018-1-5 15:08:23, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 2018-1-5 15:09:35, Old: 572.05, New: 560.00
Emission Wavelength Changed: 2018-1-5 15:09:35, Old: 585.00, New: 570.00
Stop Wavelength Changed: 2018-1-5 15:09:35, Old: 600.00, New: 650.00
Y max Changed: 2018-1-5 15:10:04, Old:  1000.0000, New:   500.0000
End Method Modifications

